Sample	s_name	totalpairs	discardpairs	percdiscard	inniepairs	outiepairs	uncombopairs	perccombo
ERR6913183_1	ERR6913183_1	1105520	0	0.0	700723	832	403965	63.46
ERR6913184_1	ERR6913184_1	957507	0	0.0	596986	561	359960	62.41
ERR6913185_1	ERR6913185_1	87387	0	0.0	61616	180	25591	70.72
ERR6913186_1	ERR6913186_1	1110902	0	0.0	683818	728	426356	61.62
ERR6913279_1	ERR6913279_1	1512887	0	0.0	1263523	1319	248045	83.6
ERR6913280_1	ERR6913280_1	1509143	0	0.0	1292131	1622	215390	85.73
ERR6913281_1	ERR6913281_1	1234575	0	0.0	1076437	1572	156566	87.32
ERR6913282_1	ERR6913282_1	1352872	0	0.0	1251778	2221	98873	92.69
